title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Fix marked checkbox with ambiguous Markdown link,4,1,1,1,"This pull-request fixes bug in the Markdown parser used by GitHub to translate `[x]` into HTML checkboxes, the way it is currently written makes the transpiler believe that the text in between parenthesis is actually part of a Markdown link with this syntax `[title](href)` which makes me believe that the parser is taking `/\[x\][^(]+\([^)]+\)/` _(notice the pattern in between the braces and the parenthesis)_.

So instead of this:
- [x] _(very dated)_ http://dondodge.typepad.com/the_next_big_thing/2010/09/how-to-get-a-job-at-google-interview-questions-hiring-process.html

... it is rendering this:
- [x](very dated) http://dondodge.typepad.com/the_next_big_thing/2010/09/how-to-get-a-job-at-google-interview-questions-hiring-process.html
",0,2,2016-10-06T14:08:10Z,2016-10-06T16:42:10Z,2016-10-06T16:42:10Z,744,0 days 02:34:00
License.md Added,6,21,0,1,,1,3,2016-10-06T15:49:06Z,2016-10-06T21:20:55Z,,0,0 days 05:31:49
Adding more descriptive links.,9,87,102,1,"Improving readability and making a cleaner template.
If you agree with the changes I can follow finishing the file.
",5,3,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,2016-10-06T21:25:38Z,116,0 days 02:00:39
Fixing Last Typos.,14,19,19,1,"I reviewed the entire file more cautiously and I think those were the only typos.
",0,2,2016-10-07T07:04:16Z,2016-10-07T17:29:59Z,2016-10-07T17:29:59Z,82,0 days 10:25:43
Added Wunderlist API,228,1,0,1,"Added the Wunderlist (Todo Management) API to the Documents & Productivity section. Not sure if it's the correct section for that?
",0,2,2016-10-08T13:21:57Z,2016-10-21T09:04:05Z,2016-10-21T09:04:05Z,131,12 days 19:42:08
Added Forismatic API ,229,3,2,1,"Added Forismatic API, which provides ""the most inspiring expressions of mankind."" Added under the 'Media' section. 

Also edited Faceplusplus link to match other links in the list (GO! -> Go!)
",1,2,2016-10-12T07:27:31Z,2016-10-12T10:43:40Z,2016-10-12T10:43:40Z,193,0 days 03:16:09
Added NewsAPI to the Media Section,230,1,0,1,,5,3,2016-10-12T12:15:08Z,2016-12-12T10:27:36Z,,0,60 days 22:12:28
Filter Media into separate categories,231,45,36,1,"The Media category was becoming too vague and too cluttered with items that fell into other, already existing, categories. By breaking up this category, we are able to allow viewers to quickly find what they need, instead of making them search the category they want and then have to double-check the ""catch-all"" basin that was Media. 

These changes should cover issue #127.
",3,2,2016-10-18T02:59:48Z,2016-10-18T13:10:41Z,2016-10-18T13:10:41Z,376,0 days 10:10:53
Update README.md,232,1,0,1,"Added the ""WhereIsMyTransport"" transportation API.
",2,3,2016-10-18T14:18:21Z,2016-10-21T16:00:51Z,2016-10-21T16:00:51Z,51,3 days 01:42:30
Add Dailymotion API,233,3,2,1,"Add Dailymotion API under Video. Dailymotion is a video-hosting site similar to Vimeo and YouTube.
",0,2,2016-10-18T15:32:04Z,2016-10-19T07:53:39Z,2016-10-19T07:53:39Z,99,0 days 16:21:35
Update Ordering and Formatting,234,14,15,1,"Update Alphabetical ordering of P's and header size of Photography
",0,2,2016-10-20T16:20:49Z,2016-10-21T09:00:26Z,2016-10-21T09:00:26Z,67,0 days 16:39:37
Updated OpenWeatherMap OAuth - http://openweathermap.org/appid,235,1,1,1,"Added 'apiKey' caveat to the OpenWeatherMap OAuth column: http://openweathermap.org/appid
",1,3,2016-10-24T08:59:57Z,2016-10-25T08:30:09Z,2016-10-25T08:30:09Z,90,0 days 23:30:12
Move Planets section into Science,237,1,6,1,"Similar to the Media section, by moving the Planets section into Science, it creates a more concise way for users to search (i.e. no need to check Science, and then go back and look for another section to cover what they are looking for).
",1,2,2016-10-29T23:49:25Z,2016-11-08T10:12:04Z,2016-11-08T10:12:04Z,239,9 days 10:22:39
News Tab Created NYTimes API added,238,7,0,1,"Hey, I have added News Tab. I will further contribute more. It will be a good gesture if you accept my pull request. Thanks ",1,2,2016-11-07T09:35:08Z,2016-11-08T17:57:20Z,2016-11-08T17:57:20Z,124,1 days 08:22:12
Remove Stattleship API,239,0,1,1,Josh and David couldn't raise enough to keep the api public.,4,3,2016-11-07T13:51:38Z,2016-12-05T09:48:49Z,2016-12-05T09:48:49Z,60,27 days 19:57:11
Add Open Trivia API,240,1,0,1,,1,2,2016-11-07T18:01:16Z,2016-11-08T10:13:40Z,2016-11-08T10:13:40Z,0,0 days 16:12:24
Change Oauth value for Discogs from No to Yes,241,1,1,1,Discogs uses/requires OAuth.,1,2,2016-11-08T08:31:56Z,2016-11-08T10:14:49Z,2016-11-08T10:14:49Z,28,0 days 01:42:53
Update README.md,243,3,2,1,added diabetes api,3,2,2016-11-23T04:16:39Z,2016-11-24T08:33:04Z,2016-11-24T08:33:04Z,18,1 days 04:16:25
Add Quotes on Design API,244,1,0,1,,1,2,2016-11-27T16:03:11Z,2016-11-27T18:49:42Z,2016-11-27T18:49:42Z,0,0 days 02:46:31
Update README.md,245,1,0,1,,1,2,2016-11-30T20:58:34Z,2016-12-01T08:32:51Z,2016-12-01T08:32:51Z,0,0 days 11:34:17
"Update 'Exchange' section title to ""Currency Exchange""",247,8,7,1,"A section title of ""exchange"" is a bit vague when searching for a currency API, so add ""currency"" to the section title to make life, and searching, easier.",0,2,2016-12-04T02:14:22Z,2016-12-05T09:48:15Z,2016-12-05T09:48:15Z,155,1 days 07:33:53
Add Mailgun (Email Service) API to Business section,248,1,0,1,,0,2,2016-12-04T02:15:24Z,2016-12-05T09:47:57Z,2016-12-05T09:47:57Z,0,1 days 07:32:33
Add Scoop-It API,250,1,0,1,,0,2,2016-12-08T04:13:06Z,2016-12-08T06:47:48Z,2016-12-08T06:47:48Z,0,0 days 02:34:42
Add contributing guide,252,181,118,2,"As discussed in issue #140 , this contributing guide will hopefully assist contributors in easily opening PRs, and SHOULD help clear up the auth inconsistency moving forward (if people read the directions :) )",5,3,2016-12-12T04:32:56Z,2016-12-12T16:42:42Z,2016-12-12T16:42:42Z,209,0 days 12:09:46
Update README.md,253,5,3,2,Added a little note about contributing to the project in the master README.,1,2,2016-12-12T16:57:08Z,2016-12-12T17:57:50Z,2016-12-12T17:57:50Z,75,0 days 01:00:42
Add Gfycat to Photography APIs.,255,1,0,1,,1,2,2016-12-26T03:26:00Z,2016-12-26T04:29:51Z,2016-12-26T04:29:51Z,0,0 days 01:03:51
Update README.md,256,21,20,1,New Stormpath API reference and updated some formatting of Markdown columns.,0,2,2016-12-26T18:19:10Z,2016-12-27T17:24:30Z,2016-12-27T17:24:30Z,76,0 days 23:05:20
Renaming: use original titles,7,0,0,1,"For example:
- Frontend -> Front-end
- PHP-7 -> PHP 7
- Node JS -> Node.js
- NPM -> npm

And so on, in general, the names have been renamed in such a way as they are used officially.

Maybe it does not really matter, but still I want to use the correct technology names, so that there is no confusion",1,2,2017-03-16T21:13:35Z,2017-03-17T06:14:47Z,2017-03-17T06:14:47Z,308,0 days 09:01:12
minor changes,14,6,6,2,Really like what you did. I added a few things that I think are important for devs to keep an eye on.,6,4,2017-03-17T13:50:25Z,2017-03-18T17:57:49Z,,101,1 days 04:07:24
added WSGI and async frameworks to python section,22,0,0,1,,1,2,2017-03-19T07:29:09Z,2017-03-23T04:44:01Z,2017-03-23T04:44:01Z,0,3 days 21:14:52
Fix some issues,25,2,2,2,"Related: #12 #24 
Adds:

- [x] Xdebug to PHP (Backend)
- [x] Byebug to Ruby (Backend)
- [x] Material Design to CSS Frameworks (Frontend)",2,4,2017-03-19T13:32:51Z,2017-03-23T05:14:20Z,,141,3 days 15:41:29
New relic,45,1,1,2,I added New Relic to the list of monitoring tools. Is there a better way to monitor your infrastructure?,5,4,2017-03-21T20:14:54Z,2017-03-23T05:21:19Z,,104,1 days 09:06:25
c# expanded .net and .net core,48,1,1,2,expanding .net to asp.net and asp.net core,2,3,2017-03-22T06:03:50Z,2017-03-23T05:19:21Z,,42,0 days 23:15:31
added Zend Framework,59,1,1,1,"Added Zend Framework as an option under PHP frameworks.

Cheers! :)",3,4,2017-03-23T17:14:29Z,2017-03-26T04:00:20Z,,69,2 days 10:45:51
Rename Google App Engine to Google Cloud Platform,61,2,2,2,As proposed in issue #32,1,2,2017-03-24T00:58:44Z,2017-03-26T03:56:11Z,2017-03-26T03:56:11Z,24,2 days 02:57:27
Added Video Discussing Roadmap in Detail,63,6,0,1,Video discusses the current trends of web-development technologies and answers an important question - What to be learned in 2017 .,1,2,2017-03-24T02:25:37Z,2017-03-24T07:13:00Z,,131,0 days 04:47:23
Added several databases,69,1,1,1,,1,2,2017-03-24T11:48:44Z,2017-03-26T03:54:45Z,,0,1 days 16:06:01
Improved DevOps part,71,2,3,3,"I was improved server section, added backups, virtualisation, docker ekosystem, fix in monitoring, shell and operating system.. :)",2,2,2017-03-24T23:57:15Z,2017-03-26T04:03:32Z,,130,1 days 04:06:17
Added recommended editor/IDEs (Front-end) & python libraries (Backend),74,4,4,3,"Added some recommended editors & IDEs (for frontend)
- Sublime Text
- Visual Studio Code
- Brackets
- Web Storm
- Atom

Added some famous python libraries.
- **Basic data analysis** : Tensorflow, Pandas, NumPy, SciPy, Scikit-learn 
- **Web crawling** : Beautiful Soup, Scrapy

Thank you very much for making neat & nice roadmap. :)",1,2,2017-03-25T05:24:49Z,2017-03-26T03:53:16Z,,342,0 days 22:28:27
Small changes in README.md,79,5,5,1,,1,2,2017-03-26T06:24:36Z,2017-03-27T02:22:36Z,2017-03-27T02:22:36Z,0,0 days 19:58:00
Add Zabbix to DevOps > Monitoring and Alerting,80,2,2,2,Related to #66.,3,3,2017-03-26T07:08:30Z,2017-04-01T17:00:42Z,2017-04-01T17:00:42Z,15,6 days 09:52:12
Make JSON code readable and easier to maintain,81,10756,4,4,"This PR does not introduce any new technology to the charts, it just _prettify_ all current JSON files, the benefits are:

- It makes code **easier to read**, because all the code is formatted and indented properly.
- It makes code **easier to maintain**, because you can no longer have diffs where it's so difficult to see what changed.

I've tested on Balsamiq 3.5.8 and still works as expected.",1,2,2017-03-26T08:38:25Z,2017-03-27T02:21:54Z,,402,0 days 17:43:29
list responsibilities,84,24,9,6,put down some job functions related to the technology.,1,3,2017-03-27T00:18:10Z,2017-03-27T02:21:01Z,,54,0 days 02:02:51
add perl5 to backend map,91,1,1,1,"Perl5 is not exactly trendy, but there is still a metric tonne of it around, and will be for the forseeable.  It can be the source of fun and rewarding jobs (it's in the top 10 employable languages, and good perl skills are among the best paid in the industry).  As it's very similar to python, php7 and ruby[1] I figured I would provide a roadmap for perl on the backend diagram too.

What is missing is that because perl's OO is much more flexible than python's[2] (upon which it is based) there are three distinct widely practised ways of doing OO - built in (via blessing references by hand), Moo (lightweight, declarative, emphasis on gradual typing, readability and extensibility) and Moose (compatible with Moo but full blown metaobject model).  I omitted it because OO is not mentioned for the other languages, and space is pretty limited as is.

[1] All these loosely typed dynamic languages are basically the same  with small philosophical and syntatic differences around the edges
[2] And of course therefore gives the unwary interesting ways of shooting themselves in the foot.  For example,  I've seen people who are used to ruby doing really impressive but misguided things with Moose.",1,2,2017-03-28T10:47:13Z,2017-04-01T17:05:52Z,,1204,4 days 06:18:39
added zabbix for monitoring and alerting,94,2,2,2,"FYI, zabbix is a very popular and powerful monitoring and alerting solution.",2,3,2017-03-28T12:57:39Z,2017-04-01T16:54:49Z,,76,4 days 03:57:10
minor spelling and grammar edit in intro text,98,1,1,1,"""make your habbit"" => ""make it your habit""",0,2,2017-03-28T16:01:27Z,2017-04-01T16:55:49Z,2017-04-01T16:55:49Z,42,4 days 00:54:22
Added Full Poster,104,0,0,1,I wanted to print this out for my office so I put all the images together in an A0 canvas. You may gladly pull this if you think it may benefit others. Cheers 😄 ,3,2,2017-03-29T06:10:45Z,2017-04-01T17:20:31Z,,161,3 days 11:09:46
Adding Cloud Foundry in devops trail,111,1,1,1,Adding Cloud Foundry in devops trail.,1,2,2017-03-30T13:55:25Z,2017-04-01T16:53:15Z,2017-04-01T16:53:15Z,37,2 days 02:57:50
Update README.md,114,2,2,1,This is an great resource. I formatted a bit of your README for better grammar so that it looks even mroe legit and awesome than it already does.,0,2,2017-04-01T23:40:15Z,2017-07-28T11:27:05Z,,145,117 days 11:46:50
Update README.md,115,1,1,1,Small fix to README,1,2,2017-04-02T04:24:24Z,2017-04-02T06:07:04Z,,19,0 days 01:42:40
Update README.md,116,1,1,1,,0,2,2017-04-02T14:55:53Z,2017-07-28T11:26:19Z,2017-07-28T11:26:19Z,0,116 days 20:30:26
Added Windows OS,118,2,2,3,Added Windows Option in the operating systems. ,2,3,2017-04-05T06:25:00Z,2017-07-28T11:25:38Z,,47,114 days 05:00:38
add SDN,120,1,1,1,,0,2,2017-04-06T11:05:59Z,2017-07-28T11:24:11Z,,0,113 days 00:18:12
Adding Log Management & Analysis,128,2,2,2,"Hey!

Thank you for the great work on these! I've added a section in for Logging as suggested in Issue #123 

I hope everything looks OK, if not, please let me know so I can improve. Also, if @luryAlves or anyone else has any suggestions, I'll add them in.",2,2,2017-04-18T20:35:33Z,2017-07-28T11:23:45Z,,260,100 days 14:48:12
"""Knowlege"" rename to ""Knowledge"".",151,1,1,1,,1,2,2017-04-28T06:01:01Z,2017-07-28T11:14:32Z,,0,91 days 05:13:31
added New Relic to Monitoring and Alerting,154,1,1,1,"This is discussed in the following issue: https://github.com/kamranahmedse/developer-roadmap/issues/152. Added New Relic to ""Pick any"" on monitoring and Alerting. I would suggest this as a personal preference but this is up to you! ",1,2,2017-04-29T10:31:27Z,2017-07-28T11:06:58Z,,232,90 days 00:35:31
Fix lowercase typo in Layer 7 load balancing title,74,1,1,1,Fixed letter case for title **layer 7 load balancing**,1,2,2017-05-02T19:28:31Z,2017-05-16T04:17:24Z,2017-05-16T04:17:24Z,54,13 days 08:48:53
Fix typo,75,1,1,1,,1,2,2017-05-09T13:31:23Z,2017-05-27T00:32:45Z,2017-05-27T00:32:45Z,0,17 days 11:01:22
Add license disclaimer,78,10,0,2,"![image](https://cloud.githubusercontent.com/assets/10015677/26193796/de7fde10-3be8-11e7-9e7b-0cf86c3de2fa.png)
this URL seems cannot visit",0,2,2017-05-18T08:42:10Z,2017-05-27T00:34:53Z,,140,8 days 15:52:43
Fix #79: Inaccuracy in Twitter timeline and search example,81,1,1,1,,1,2,2017-05-25T01:47:16Z,2017-05-27T00:31:32Z,2017-05-27T00:31:32Z,0,1 days 22:44:16
Add prev to Node class,82,2,1,1,"For managing LRU cache, we need to use a doubly linked list for move_to_front() operation.",1,2,2017-05-29T13:21:20Z,2017-06-06T00:25:04Z,2017-06-06T00:25:04Z,90,7 days 11:03:44
Init spot_size member in parking lot exercise,83,1,1,1,spot_size is not initialised.,1,2,2017-05-29T16:47:48Z,2017-05-30T00:55:33Z,2017-05-30T00:55:33Z,29,0 days 08:07:45
Fix reducer argument in pastebin exercise,85,1,1,1,"This should make it clear that the code the developer writes for the reduce steps indeed gets an iterable of values, not only a single value.

That's how the [luigi mapreduce framework](https://github.com/spotify/luigi/blob/710e7238406a9843945c74d53f5524a6284194f0/examples/wordcount_hadoop.py#L84) is designed at least.",1,2,2017-06-06T15:19:52Z,2017-06-14T00:43:11Z,2017-06-14T00:43:11Z,322,7 days 09:23:19
Add a section for creating a demoscene demo,4,22,3,1,"Add a section for how to create a demoscene demo. Some of the links are not exactly tutorials, but IMO, neccessary pointers and introductions that are neccessary to get an idea about what a demoscene demo is, for uninitiated developers.",3,2,2018-05-10T10:35:14Z,2018-05-11T08:27:20Z,,236,0 days 21:52:06
Add OS: Build a minimal multi-tasking kernel for ARM,7,1,0,1,,1,2,2018-05-11T02:27:06Z,2018-05-11T07:17:47Z,2018-05-11T07:17:47Z,0,0 days 04:50:41
Add PL: Build a self-compiling C compiler for ARM,8,1,0,1,,1,2,2018-05-11T02:35:10Z,2018-05-11T07:37:35Z,,0,0 days 05:02:25
readme: Add my tutorial on shell,10,1,0,1,"This is a collection of three blog posts, but I've linked to only Part I in this PR and readers can follow on from there (links to consecutive parts are available at the end of each blog post).",1,2,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,193,0 days 21:46:39
"Add a minimal interpreter, compiler (x86/Arm) and JIT compiler",14,1,0,1,,1,2,2018-05-11T16:52:43Z,2018-05-12T07:58:43Z,2018-05-12T07:58:43Z,0,0 days 15:06:00
Add: Generate SVG images in C,16,1,0,1,,1,2,2018-05-12T08:21:04Z,2018-05-13T10:53:26Z,,0,1 days 02:32:22
Fix missing linebreak in README.md,19,1,1,1,,1,2,2018-05-12T22:40:14Z,2018-05-13T06:52:37Z,2018-05-13T06:52:37Z,0,0 days 08:12:23
Fix bad whitespace before bullet in README.md,21,3,2,1,,1,2,2018-05-12T23:21:23Z,2018-05-13T06:50:27Z,2018-05-13T06:50:27Z,0,0 days 07:29:04
Update README.md,23,1,0,1,Add link to [Parser Combinator](https://github.com/gosukiwi/parser-combinator) library for Ruby,1,2,2018-05-13T02:49:07Z,2018-05-13T06:56:34Z,,95,0 days 04:07:27
Fix links of docs on the comment,12795,5,5,1,"Fix hash of links on the comment, eg:
 `https://reactjs.org/docs/react-api.html#react.children.map`
 -> `https://reactjs.org/docs/react-api.html#reactchildrenmap`",4,4,2018-05-13T09:27:03Z,2018-06-05T12:03:04Z,2018-06-05T12:03:04Z,164,23 days 02:36:01
remove unused ES3-specific packages - refs #12716,12797,0,2,1,"Remove unused ES3-specific packages from `package.json`. @gaearon 

Refs #12716 - specific comment https://github.com/facebook/react/pull/12716#issuecomment-388023054",0,3,2018-05-14T06:26:19Z,2018-05-14T10:18:32Z,2018-05-14T10:18:32Z,168,0 days 03:52:13
Set current owner in prod too,12804,4,6,1,"This can change behavior.

Follow-up to #12777.",4,4,2018-05-14T22:26:03Z,2020-01-17T08:59:30Z,,47,612 days 10:33:27
Skip special nodes when reading TestInstance.parent,12813,51,30,2,"Fixes `Unexpected object passed to ReactTestInstance constructor (tag: 10)` when reading `.parent` of test instances whose parents are fragments. We currently skip fragments and similar nodes when reading children, so I made the `parent` getter also skip over them.

I got rid of the `switch` because we already have a whitelist of node types that we want to materialize. I’m just reusing that now so we don’t have to remember to keep this logic in sync.

Added some test coverage.",1,4,2018-05-15T09:08:44Z,2018-05-15T10:11:19Z,2018-05-15T10:11:19Z,485,0 days 01:02:35
Fix circular Flow reference in DOMTopLevelEventTypes,12818,74,75,1,"This PR cleans up a circular reference when typing `DOMTopLevelEventTypes` which I introduced in https://github.com/facebook/react/pull/12629 as this seems to cause issues on Windows:
https://ci.appveyor.com/project/Facebook/react/build/1.0.411

cc @gaearon",7,4,2018-05-15T12:46:47Z,2018-05-15T14:27:32Z,,260,0 days 01:40:45
"Only measure ""base"" times within ProfileMode",12821,28,5,2,"Follow up for [this comment](https://github.com/facebook/react/pull/12745/files#r186276940) on PR #12745. Previously I was tracking base time for all fibers, regardless of whether they were inside of a `Profiler`, because the place where I started the timer didn't yet know if it was in a `ProfileMode`.

I could move where I start/stop the timer somewhere else- where it would know- but this approach seemed simpler. It has a small potential downside of not measuring ""base"" time for the `Profiler` component itself- but I think this is okay because (1) that time should be minimal and (2) it isn't really actionable for a developer.

### Questions
* ~~Should I remove the conditionals around `stopBaseRenderTimerIfRunning`? (Is it worth having them?)~~

### Caveats
* We pause/resume the global render timer even outside of a `ProfileMode` tree. This only updates a single numeric value though; it doesn't modify any attributes on a fiber.",0,3,2018-05-15T17:39:49Z,2018-05-15T19:43:43Z,2018-05-15T19:43:43Z,949,0 days 02:03:54
Enable Profiler timing for DOM and RN dev bundles,12823,3,2,3,"Enabling timing for DEV mode only so people can experiment with it in 16.4.

We'll add a profiling production mode bundle in the future.",0,3,2018-05-15T19:57:56Z,2018-05-15T22:26:46Z,2018-05-15T22:26:46Z,138,0 days 02:28:50
Fix ambiguity in doc comment for isValidElement,12826,1,1,1,"`isValidElement(object)` checks if object is a ReactElement.

`@return {boolean} True if object is a valid component` is leading to confusion which was described in several blog posts:
- https://reactjs.org/blog/2015/12/18/react-components-elements-and-instances.html
- https://medium.com/@fay_jai/react-elements-vs-react-components-vs-component-backing-instances-14d42729f62",2,4,2018-05-16T00:05:45Z,2018-08-03T04:32:42Z,2018-08-03T04:32:42Z,379,79 days 04:26:57
Don't try to read child nodes of Text when hydrating,12829,2,1,1,"Text nodes can't have children. Flow didn't catch this for some reason, but it does in my WIP branch where I run Flow with more specific types.

This doesn't really change the behavior except getting rid of an unnecessary function call and a read from a DOM node. The issue is unobservable but it breaks typing in my future PR.

You can verify this used to happen in old code by applying

```diff
--- a/packages/react-dom/src/client/ReactDOMHostConfig.js
+++ b/packages/react-dom/src/client/ReactDOMHostConfig.js
@@ -419,6 +419,10 @@ const ReactDOMHostConfig = {
     getFirstHydratableChild(
       parentInstance: Container | Instance,
     ): null | Instance | TextInstance {
+      if (parentInstance instanceof Text) {
+        throw new Error('nooo')
+      }
+
```

and running `yarn test`. With this change, it doesn't happen anymore.",8,5,2018-05-16T15:16:21Z,2018-05-23T13:14:35Z,,861,6 days 21:58:14
[WIP] API for async-safe access of mutable data,12835,249,5,5,"Opening this early so I can get feedback on the overall approach.

Call `willAccessMutableState` whenever a React component reads from a mutable data source. This includes inside a change event handler (right before calling `setState`) and in a constructor when reading the component's initial state.

React keeps track of the the lowest priority update that is the result of a mutable state change.

If a component attempts to read from mutable state during the render phase at a higher priority than the lowest priority mutation update, React will suspend the high priority work and coalesce it with the low priority render, to prevent tearing.

Unresolved questions:

- This is modeled like a suspend on asynchronous data. The difference is that this should never trigger a placeholder, since the data needed to complete the render is available, just at a lower priority. Because of this, the high priority work is effectively deprioritized. I think an alternative, possibly better, approach would be to increase the priority of the low priority work. I'm not sure yet how we'd implement this, though, since the only other case where we upgrade the priority of pending work is `batch.commit()`, and in that case the work is flushed synchronously.
- For the initial mount, this strategy requires components to subscribe to the data source during the render phase. This cuts against our current recommendation to subscribe in `componentDidMount`.
- Whatever strategy we choose here, we should update `create-subscription` to follow it.",5,5,2018-05-16T22:28:01Z,2018-05-31T22:25:09Z,,1548,14 days 23:57:08
Temporary fix for grabbing wrong rAF polyfill in ReactScheduler,12837,52,16,4,"**what is the change?:**
For now...
We need to grab a slightly different implementation of rAF internally at
FB than in Open Source. Making rAF a dependency of the ReactScheduler
module allows us to fork the dependency at FB.

NOTE: After this lands we have an alternative plan to make this module
separate from React and require it before our Facebook timer polyfills
are applied. But want to land this now to keep master in a working state
and fix bugs folks are seeing at Facebook. This is basically the same as previously closed PR https://github.com/facebook/react/pull/12831

Thanks @sebmarkbage @acdlite and @sophiebits for discussing the options
and trade-offs for solving this issue.

**why make this change?:**
This fixes a problem we're running into when experimenting with
ReactScheduler internally at Facebook, **and* it's part of our long term
plan to use dependency injection with the scheduler to make it easier to
test and adjust.

**test plan:**
Ran tests, lint, flow, and will manually test when syncing into
Facebook's codebase.

**issue:**
See internal task T29442940",1,3,2018-05-16T23:09:48Z,2018-05-17T15:57:46Z,2018-05-17T15:57:46Z,1113,0 days 16:47:58
getPeerGlobals should check bundleType instead of moduleType,12839,3,6,2,"There is a mistake in `Modules.getPeerGlobals` of rollup script. `UMD_DEV` and `UMD_PROD` is checked against `moduleType`, actually it should be `bundleType`.",1,3,2018-05-17T02:59:00Z,2018-05-17T16:16:04Z,2018-05-17T16:16:04Z,158,0 days 13:17:04
Re-enable Flow for ReactFiber and fix Flow issues,12842,120,108,7,"In October I merged a PR that accidentally removed `@flow` from `ReactFiber.js`.
As a result it resolved to `any`.

In this PR, I'm adding it back, along with a Flow lint rule that prevents importing types from untyped files.
I'm also fixing Flow uncovered violations.

[View without whitespace](https://github.com/facebook/react/pull/12842/files?w=1)",1,5,2018-05-17T15:06:39Z,2018-05-17T16:14:12Z,2018-05-17T16:14:12Z,357,0 days 01:07:33
Add test to ensure no duplicate values in ReactSymbols,12845,39,0,1,Prevent future clowniness like #12843 🤡 ,0,3,2018-05-17T18:20:10Z,2018-05-18T14:57:25Z,2018-05-18T14:57:25Z,40,0 days 20:37:15
Run Flow for each renderer separately,12846,147,47,8,"This adds per-renderer Flow commands:

* `yarn flow dom`
* `yarn flow fabric`
* `yarn flow native`
* `yarn flow test`

If you forget to specify the one you need during local development, `yarn flow` will prompt you to do so. It should be possible to even run them in parallel although I’d expect it to be super slow so in practice you’ll probably use one at a time.

The typechecks are currently exactly the same between renderers. This is a preparation for https://github.com/facebook/react/pull/12792 which will shim the host config types for each renderer separately.

The `yarn flow-ci` command that runs on the CI is changed to run Flow with each renderer, one by one.

Internally, this works by having separate Flow configs in different directories (thus making Flow treat them as isolated from each other). We generate Flow configs from a single master template if you run `yarn`, `yarn flow`, or `yarn flow-ci`.",6,4,2018-05-17T18:55:38Z,2018-05-18T01:05:20Z,2018-05-18T01:05:20Z,932,0 days 06:09:42
add legacy context API warning in strict mode,12849,158,0,13,"This PR adds `warning` on the legacy context APIs when it's under StrictMode. Specifically, just to make sure, the `if` statement looks like this:

```js
if (
  typeof instance.getChildContext === 'function' ||
  (fiber.tag === ClassComponent && fiber.type.contextTypes != null) ||
  (fiber.tag === ClassComponent && fiber.type.childContextTypes != null)
)
``` 

Feel free to leave comments. 

![image](https://user-images.githubusercontent.com/13282699/40259374-a823d4ca-5aaa-11e8-9fcb-b46ee87d5ced.png)",12,7,2018-05-17T20:42:44Z,2018-05-22T22:38:03Z,2018-05-22T22:38:03Z,516,5 days 01:55:19
[simple-cache-provider] Use LRU cache eviction,12851,153,31,2,"Max size is hard-coded to 500. In the future, we should make this configurable per resource.",1,4,2018-05-17T23:14:16Z,2018-05-30T20:12:30Z,2018-05-30T20:12:30Z,92,12 days 20:58:14
"Pass ""start time"" and ""commit time"" to Profiler callback",12852,229,96,5,"`Profiler` component passes additional ""start time"" and ""commit time"" parameters to `onRender` callback.

After discussing this new component type with some teams at FB that might use it, it's become apparent that the addition of these time values would be helpful.
* Start time provides a method of determining whether a given commit had already begun when an event took place (e.g. user interaction, Flux action).
* Commit time could be roughly determined using e.g. `performance.now()` within the `onRender` callback, but multiple `Profiler` components would end up with slightly different times for a single commit. This explicit time value ensures consistency.

Tests have been updated to cover both new parameters.

### Caveats

Start time _is not the time_ when the event that triggered a render occurred (e.g. mouse click, Flux update). It is the time when the `Profiler` in question started rendering as a result. (This might be significantly later than the event that originated the update. State updates can be async. Other code may execute in between. etc.)

Commit time is not necessarily the exact time a user sees e.g. the updated DOM. It is the time when React commits the mutations to the DOM- but other scripts may run before the browser repaints.",4,4,2018-05-18T00:52:35Z,2018-05-21T16:49:23Z,2018-05-21T16:49:23Z,1277,3 days 15:56:48
Adding more schedule tests,12858,122,5,2,"# Tests and fixes for 'timing out' behavior

**what is the change?:**
Test coverage checking that callbacks are called when they time out.

This test surfaced a bug and this commit includes the fix.

I want to refine this approach, but basically we can simulate time outs
by controlling the return value of 'now()' and the argument passed to
the rAF callback.

Next we will write a browser fixture to further test this against real
browser APIs.

**why make this change?:**
Better tests will keep this module working smoothly while we continue
refactoring and improving it.

**test plan:**
Run the new tests, see that it fails without the bug fix.",4,3,2018-05-18T17:06:48Z,2018-05-22T15:03:56Z,2018-05-22T15:03:56Z,666,3 days 21:57:08
Add siblings Timeout components test case,12862,47,0,1,Add a test case in suspense tests where two sibling timeout components should fallback to placeholder and later recover to normal view **independently**.,0,3,2018-05-18T23:43:17Z,2018-05-22T22:39:41Z,2018-05-22T22:39:41Z,153,3 days 22:56:24
Fix Native/Fabric host instance types,12863,136,16,7,"I tried removing `any` there and I noticed the types are a bit wrong.

Specifically, `findHostInstance*` reconciler methods return `Instance | TextInstance` rather than `PublicInstance` because they just give you the `stateNode`.

However making that change uncovers that `findNodeHandle` can get a text instance (number in Native, object without a `canonical` field in Fabric). I'm not sure what to do with it; Flow fails.

@sebmarkbage?",6,4,2018-05-19T11:23:27Z,2018-05-23T13:14:36Z,,444,4 days 01:51:09
